text,sentiment,stance,domain,urgency,domain_name,sentiment_name,stance_name,urgency_name
I am against the GST slab of 28% which is very harsh on common citizens.,0,0,0,0,taxation,negative,oppose,low
"The tax slab of 30% for individuals earning above 20 lakhs is too high, it's a burden on our pockets.",0,0,0,0,taxation,negative,oppose,low
"I oppose the practice of TDS on rent, it's a complex and time-consuming process.",0,0,0,0,taxation,negative,oppose,low
"The government should reconsider the tax on gold, it's a necessary item for weddings and other occasions.",0,0,0,0,taxation,negative,oppose,low
"The income tax exemption limit should be increased to 30 lakhs, it's too low for middle-class citizens.",0,0,0,0,taxation,negative,oppose,low
"The tax on online transactions is too high, it's a burden on students and freelancers who buy online courses.",0,0,0,0,taxation,negative,oppose,low
"I am against the tax on agricultural income, it's the backbone of our economy and our livelihood.",0,0,0,0,taxation,negative,oppose,low
"The government should simplify the tax return process, it's too complicated and time-consuming.",0,0,0,0,taxation,negative,oppose,low
"The tax on property transactions is too high, it's a burden on homebuyers and sellers.",0,0,0,0,taxation,negative,oppose,low
"I oppose the tax on private education, it's a necessary investment for our children's future.",0,0,0,0,taxation,negative,oppose,low
"The tax on health insurance is too high, it's a necessary expense for our families.",0,0,0,0,taxation,negative,oppose,low
"The GST registration process is too complicated, it's a burden on small business owners.",0,0,0,0,taxation,negative,oppose,low
"The tax on foreign exchange is too high, it's a burden on travelers and students who study abroad.",0,0,0,0,taxation,negative,oppose,low
"I am against the tax on pension, it's a necessary income for our seniors.",0,0,0,0,taxation,negative,oppose,low
"The tax on charitable donations is too high, it's a necessary act of kindness for our society.",0,0,0,0,taxation,negative,oppose,low
"The government should reduce the tax slab for senior citizens above 60 years from 20% to 10%, making it easier for them to live comfortably.",2,2,0,0,taxation,positive,support,low
"I fully support the proposed tax exemption for women entrepreneurs, it will encourage more women to start their own businesses.",2,2,0,0,taxation,positive,support,low
"The income tax exemption limit for farmers should be increased from ₹5 lakh to ₹10 lakh, as their income is directly linked to crop yields.",2,2,0,0,taxation,positive,support,low
"The tax-free threshold for gifts received from friends and family should be increased to ₹50,000, allowing people to show their love and care without incurring taxes.",2,2,0,0,taxation,positive,support,low
"The government should introduce a tax holiday for start-ups in Tier-II and Tier-III cities, promoting entrepreneurship and job creation in these regions.",2,2,0,0,taxation,positive,support,low
"The exemption for housing loan interest up to ₹2 lakh should be extended to self-occupied homes, helping people to own their dream homes.",2,2,0,0,taxation,positive,support,low
"I strongly support the proposed tax relief for first-time homebuyers, it will help young couples to purchase their first home with ease.",2,2,0,0,taxation,positive,support,low
"The tax exemption for education loans should be increased from ₹8 lakh to ₹10 lakh, supporting students to pursue higher education without financial burden.",2,2,0,0,taxation,positive,support,low
"The government should simplify the GST refund process for small businesses, reducing their compliance burden and increasing their competitiveness.",2,2,0,0,taxation,positive,support,low
"The tax deduction for charitable donations should be increased from 50% to 75% of the donor's taxable income, promoting philanthropy and social welfare.",2,2,0,0,taxation,positive,support,low
"The exemption for medical expenses over ₹1 lakh should be extended to all citizens, regardless of their income, to alleviate the financial burden of medical treatment.",2,2,0,0,taxation,positive,support,low
"The government should increase the tax-free threshold for foreign earnings from ₹10 lakh to ₹20 lakh, attracting more foreign talent to India and boosting economic growth.",2,2,0,0,taxation,positive,support,low
"The tax deduction for home maintenance expenses should be increased from ₹30,000 to ₹50,000, helping homeowners to maintain their properties without incurring additional taxes.",2,2,0,0,taxation,positive,support,low
"The government should introduce a tax credit scheme for small businesses, allowing them to set off their tax liability against their GST credits, promoting cash flow and reducing debt burden.",2,2,0,0,taxation,positive,support,low
"The tax exemption for disability benefits should be increased from ₹50,000 to ₹1 lakh, supporting individuals with disabilities and their families to live with dignity.",2,2,0,0,taxation,positive,support,low
I am not sure if I can claim rebate for my 1 Lakh car purchase in FY 2022-2023 and need some clarification on the new tax rules.,1,1,0,0,taxation,neutral,neutral,low
"I filed my income tax return for AY 2023-2024 but still haven't received a refund, when can I expect it?",1,1,0,0,taxation,neutral,neutral,low
Can I claim HRA exemption for my rent paid in a rented house in Jaipur while I work in Delhi?,1,1,0,0,taxation,neutral,neutral,low
